"Date","Last","Open","High","Low","Vol","% Changs"
"Jul 26, 2019","3.17","3.20","3.20","3.15","4.40M","-1.25%"
"Jul 25, 2019","3.21","3.24","3.24","3.19","2.86M","-0.62%"
"Jul 24, 2019","3.23","3.22","3.26","3.19","3.23M","0.31%"
"Jul 23, 2019","3.22","3.19","3.24","3.16","4.19M","0.31%"
"Jul 22, 2019","3.21","3.38","3.40","3.21","7.48M","-5.03%"
"Jul 19, 2019","3.38","3.40","3.49","3.36","8.50M","-1.74%"
"Jul 18, 2019","3.44","3.39","3.69","3.38","11.64M","2.38%"
"Jul 17, 2019","3.36","3.37","3.39","3.34","3.23M","-0.30%"
"Jul 16, 2019","3.37","3.39","3.42","3.35","3.03M","0.60%"
"Jul 15, 2019","3.35","3.31","3.38","3.27","4.65M","1.21%"
"Jul 12, 2019","3.31","3.34","3.34","3.28","2.84M","-0.30%"
"Jul 11, 2019","3.32","3.31","3.35","3.30","3.52M","0.30%"
"Jul 10, 2019","3.31","3.39","3.39","3.29","3.84M","-1.78%"
"Jul 09, 2019","3.37","3.37","3.40","3.33","4.18M","-0.59%"
"Jul 08, 2019","3.39","3.48","3.49","3.36","7.11M","-4.24%"
"Jul 05, 2019","3.54","3.49","3.55","3.46","5.03M","1.43%"
"Jul 04, 2019","3.49","3.56","3.57","3.45","4.49M","-1.13%"
"Jul 03, 2019","3.53","3.62","3.62","3.52","5.39M","-1.67%"
"Jul 02, 2019","3.59","3.63","3.63","3.56","5.28M","0.00%"
"Jul 01, 2019","3.59","3.50","3.63","3.46","9.28M","4.36%"
"Jun 28, 2019","3.44","3.60","3.61","3.42","7.17M","-4.71%"
"Jun 27, 2019","3.61","3.56","3.63","3.54","5.80M","2.27%"
"Jun 26, 2019","3.53","3.50","3.57","3.48","5.08M","0.00%"
"Jun 25, 2019","3.53","3.60","3.61","3.51","7.20M","-2.49%"
"Jun 24, 2019","3.62","3.67","3.68","3.58","5.44M","-1.09%"
"Jun 21, 2019","3.66","3.64","3.69","3.58","8.71M","3.39%"
"Jun 20, 2019","3.54","3.52","3.59","3.48","6.21M","0.57%"
"Jun 19, 2019","3.52","3.54","3.59","3.51","6.52M","0.86%"
"Jun 18, 2019","3.49","3.48","3.53","3.42","3.71M","1.16%"
"Jun 17, 2019","3.45","3.47","3.47","3.34","4.37M","0.00%"
"Jun 14, 2019","3.45","3.55","3.62","3.43","5.36M","-3.63%"
"Jun 13, 2019","3.58","3.50","3.64","3.47","7.51M","2.87%"
"Jun 12, 2019","3.48","3.48","3.54","3.46","5.04M","0.00%"
"Jun 11, 2019","3.48","3.34","3.48","3.34","4.38M","3.57%"
"Jun 10, 2019","3.36","3.32","3.37","3.27","3.38M","1.82%"
"Jun 06, 2019","3.30","3.43","3.43","3.27","5.38M","-3.23%"
"Jun 05, 2019","3.41","3.42","3.45","3.38","3.53M","0.00%"
"Jun 04, 2019","3.41","3.48","3.50","3.38","5.90M","-1.73%"
"Jun 03, 2019","3.47","3.58","3.60","3.46","5.41M","-3.07%"
"May 31, 2019","3.58","3.62","3.66","3.56","4.49M","-1.10%"
"May 30, 2019","3.62","3.65","3.67","3.57","4.84M","-1.36%"
"May 29, 2019","3.67","3.67","3.71","3.64","4.72M","-0.27%"
"May 28, 2019","3.68","3.62","3.72","3.59","7.60M","1.94%"
"May 27, 2019","3.61","3.50","3.63","3.45","6.28M","4.03%"
"May 24, 2019","3.47","3.53","3.60","3.46","5.07M","-2.25%"
"May 23, 2019","3.55","3.62","3.63","3.54","4.65M","-2.20%"
"May 22, 2019","3.63","3.73","3.73","3.58","5.50M","-2.16%"
"May 21, 2019","3.71","3.66","3.74","3.63","5.97M","2.20%"
"May 20, 2019","3.63","3.58","3.69","3.58","6.41M","1.11%"
"May 17, 2019","3.59","3.85","3.86","3.54","11.37M","-6.27%"
"May 16, 2019","3.83","3.79","3.84","3.78","6.70M","1.32%"
"May 15, 2019","3.78","3.75","3.80","3.71","5.73M","2.16%"
"May 14, 2019","3.70","3.72","3.77","3.66","5.53M","-1.86%"
"May 13, 2019","3.77","3.79","3.84","3.74","6.15M","-1.82%"
"May 10, 2019","3.84","3.75","3.85","3.71","10.81M","2.95%"
"May 09, 2019","3.73","3.72","3.77","3.70","4.99M","0.27%"
"May 08, 2019","3.72","3.71","3.82","3.61","7.58M","-1.33%"
"May 07, 2019","3.77","3.77","3.83","3.71","6.74M","0.80%"
"May 06, 2019","3.74","3.88","3.94","3.62","14.21M","-6.97%"
"Apr 30, 2019","4.02","3.86","4.04","3.85","10.14M","4.42%"
"Apr 29, 2019","3.85","4.17","4.19","3.83","15.82M","-7.00%"
"Apr 26, 2019","4.14","4.27","4.28","4.09","13.69M","-3.72%"
"Apr 25, 2019","4.30","4.52","4.61","4.30","15.01M","-5.70%"
"Apr 24, 2019","4.56","4.42","4.57","4.37","13.29M","3.40%"
"Apr 23, 2019","4.41","4.54","4.56","4.36","14.24M","-2.86%"
"Apr 22, 2019","4.54","4.73","4.74","4.52","16.82M","-3.40%"
"Apr 19, 2019","4.70","4.69","4.74","4.64","12.67M","0.21%"
"Apr 18, 2019","4.69","4.81","4.83","4.68","19.41M","-3.10%"
"Apr 17, 2019","4.84","4.86","4.95","4.82","22.58M","-0.82%"
"Apr 16, 2019","4.88","4.80","4.89","4.70","23.50M","0.62%"
"Apr 15, 2019","4.85","4.78","4.97","4.74","29.21M","2.32%"
"Apr 12, 2019","4.74","4.68","4.74","4.61","13.83M","1.28%"
