Date,High,Low,Open,Close,Volume,Difference
31-Jul-11,14.9,5.7,13.5,6.6,398.27K,-51.59%
7-Aug-11,12.1,6,6.6,10.1,392.07K,54.66%
14-Aug-11,11.9,9.6,10.1,11.4,172.35K,13.03%
21-Aug-11,11.5,7.6,11.4,8.6,226.80K,-24.98%
28-Aug-11,9.5,8,8.6,8.5,112.89K,-1.28%
4-Sep-11,8.5,4.2,8.5,4.8,476.41K,-43.75%
11-Sep-11,7.4,4.4,4.8,4.8,413.36K,0.00%
18-Sep-11,6.8,4.7,4.8,5.5,384.64K,14.68%
25-Sep-11,5.5,4.6,5.5,5,199.84K,-8.04%
2-Oct-11,5.1,3.8,5,4,253.06K,-20.28%
9-Oct-11,4.4,3.7,4,3.8,247.14K,-4.24%
16-Oct-11,3.9,2,3.8,3.2,675.35K,-17.71%
23-Oct-11,3.8,2.4,3.2,3.6,450.69K,13.29%
30-Oct-11,3.7,2.8,3.6,3,268.87K,-17.04%
6-Nov-11,3.2,2.8,3,3,252.92K,2.02%
13-Nov-11,3,2,3,2.2,806.16K,-27.39%
20-Nov-11,2.6,2.2,2.2,2.5,363.45K,12.27%
27-Nov-11,3.1,2.4,2.5,2.8,609.05K,12.96%
4-Dec-11,3.1,2.6,2.8,3,388.45K,9.32%
11-Dec-11,3.4,3,3,3.2,329.70K,4.92%
18-Dec-11,4.5,3.2,3.2,3.9,478.62K,23.12%
25-Dec-11,5,3.8,3.9,4.7,457.49K,19.80%
1-Jan-12,7.2,4.6,4.7,6.8,1.02M,44.28%
8-Jan-12,7.2,5.8,6.8,6.8,757.50K,-0.88%
15-Jan-12,7.2,4.6,6.8,6.2,871.36K,-8.44%
22-Jan-12,6.4,5.1,6.2,5.6,560.59K,-8.90%
29-Jan-12,6.2,5.3,5.6,5.9,387.00K,4.26%
5-Feb-12,6,5.3,5.9,5.6,720.25K,-4.60%
12-Feb-12,5.8,3.9,5.6,4.2,1.08M,-24.64%
19-Feb-12,5.2,4.2,4.2,4.8,595.59K,13.03%
26-Feb-12,5.1,4.5,4.8,4.6,403.66K,-3.35%
4-Mar-12,5.1,4.6,4.6,4.8,334.24K,4.77%
11-Mar-12,5.4,4.8,4.8,5.2,367.60K,8.07%
18-Mar-12,5.3,4.5,5.2,4.7,475.80K,-10.34%
25-Mar-12,4.9,4.3,4.7,4.9,365.42K,4.91%
1-Apr-12,5.1,4.7,4.9,4.7,419.10K,-4.48%
8-Apr-12,5,4.6,4.7,5,404.72K,5.76%
15-Apr-12,5.5,4.9,5,5.3,385.95K,6.05%
22-Apr-12,5.3,4.8,5.3,5,367.93K,-5.32%
29-Apr-12,5.2,4.9,5,5.1,308.53K,2.01%
6-May-12,5.1,4.8,5.1,4.9,326.60K,-2.56%
13-May-12,5.1,4.9,4.9,5.1,282.77K,3.03%
20-May-12,5.2,5.1,5.1,5.1,220.54K,0.00%
27-May-12,5.3,5,5.1,5.3,243.86K,2.94%
3-Jun-12,5.7,5.2,5.3,5.6,327.56K,5.90%
10-Jun-12,6.6,5.4,5.6,6.4,379.76K,15.11%
17-Jun-12,6.8,6,6.4,6.4,332.47K,0.00%
24-Jun-12,6.7,6.2,6.4,6.7,277.01K,4.04%
1-Jul-12,6.9,6.4,6.7,6.8,284.01K,1.05%
8-Jul-12,7.9,6.7,6.8,7.5,337.91K,11.54%
15-Jul-12,9.7,7.3,7.5,8.9,789.95K,17.37%
22-Jul-12,9.2,7.8,8.9,8.9,357.35K,0.00%
29-Jul-12,11.3,8.7,8.9,11,442.24K,23.51%
5-Aug-12,12,10.1,11,11.5,379.16K,4.83%
12-Aug-12,15.4,10.6,11.5,11.6,591.64K,0.87%
19-Aug-12,11.6,7.6,11.6,10.5,759.29K,-9.39%
26-Aug-12,12.1,9.7,10.5,10,432.01K,-5.23%
2-Sep-12,11.3,9.7,10,11,270.47K,10.73%
9-Sep-12,11.8,10.8,11,11.8,260.01K,6.43%
16-Sep-12,12.7,11.7,11.8,12.2,223.13K,4.17%
23-Sep-12,12.5,11.6,12.2,12.4,175.00K,0.98%
30-Sep-12,13.1,12.3,12.4,12.5,210.29K,1.21%
7-Oct-12,12.6,10.6,12.5,11.9,289.17K,-5.20%
14-Oct-12,12,11.4,11.9,11.7,181.90K,-1.01%
21-Oct-12,12,9.7,11.7,10.3,354.68K,-12.61%
28-Oct-12,11.3,10.3,10.3,10.6,218.24K,3.70%
4-Nov-12,11.2,10.5,10.6,10.9,151.53K,2.35%
11-Nov-12,11.8,10.7,10.9,11.8,202.40K,8.26%
18-Nov-12,12.5,11.6,11.8,12.4,184.00K,5.26%
25-Nov-12,12.7,11.9,12.4,12.6,189.37K,1.21%
2-Dec-12,13.7,12.4,12.6,13.4,226.35K,6.85%
9-Dec-12,13.9,13,13.4,13.5,228.09K,0.52%
16-Dec-12,13.7,12.8,13.5,13.4,241.51K,-0.89%
23-Dec-12,13.7,13,13.4,13.4,139.46K,0.00%
30-Dec-12,13.6,13.2,13.4,13.4,142.19K,0.00%
6-Jan-13,14.4,13.4,13.4,14.2,228.80K,5.95%
13-Jan-13,16,13.9,14.2,15.6,313.71K,9.69%
20-Jan-13,19.2,15.4,15.6,17.9,485.49K,14.47%
27-Jan-13,21.4,17.2,17.9,19.6,442.23K,9.79%
3-Feb-13,24,19.4,19.6,23.6,318.71K,20.48%
10-Feb-13,27.6,21.7,23.6,27.2,466.62K,15.10%
17-Feb-13,31.3,25,27.2,29.8,417.66K,9.48%
24-Feb-13,34.9,29.2,29.8,34.3,327.36K,14.93%
3-Mar-13,49.1,33.3,34.3,46.8,520.06K,36.79%
10-Mar-13,48.5,36.7,46.8,47,384.32K,0.32%
17-Mar-13,74.9,46.8,47,64.3,602.06K,36.91%
24-Mar-13,95.7,62.7,64.3,92.2,511.38K,43.26%
31-Mar-13,147,91,92.2,142.6,520.93K,54.71%
7-Apr-13,266,54.3,142.6,93,1.38M,-34.80%
14-Apr-13,136.4,50,93,126.6,1.81M,36.15%
21-Apr-13,166.4,110,126.6,128,876.87K,1.09%
28-Apr-13,149.1,79,128,112.9,956.24K,-11.80%
5-May-13,124.9,97.5,112.9,115.6,568.14K,2.43%
12-May-13,125.6,103,115.6,123.2,399.53K,6.55%
19-May-13,134,119.5,123.2,132,157.31K,7.13%
26-May-13,136,124,132,129.3,159.87K,-2.04%
2-Jun-13,130.1,106.2,129.3,107.9,273.71K,-16.56%
9-Jun-13,112.3,88,107.9,99.8,336.61K,-7.50%
16-Jun-13,115,98.9,99.8,108.2,190.47K,8.42%
23-Jun-13,110,92.3,108.2,95,234.92K,-12.20%
30-Jun-13,98.2,65.4,95,69.7,358.77K,-26.67%
7-Jul-13,104.2,66.6,69.7,98.3,366.12K,41.14%
14-Jul-13,101.9,86.2,98.3,89.8,177.26K,-8.65%
21-Jul-13,97.5,88,89.8,94.4,105.87K,5.10%
28-Jul-13,111.7,94,94.4,104.9,191.74K,11.18%
4-Aug-13,107.8,101,104.9,103,82.99K,-1.86%
11-Aug-13,115,102.7,103,112.8,139.76K,9.47%
18-Aug-13,125,111.8,112.8,119.6,160.00K,6.08%
25-Aug-13,148.7,119.1,119.6,141,170.74K,17.89%
1-Sep-13,148.9,121.3,141,129,130.89K,-8.52%
8-Sep-13,145.9,124,129,136.7,137.01K,5.98%
15-Sep-13,142.2,131,136.7,134.4,73.34K,-1.70%
22-Sep-13,143,131,134.4,142.5,77.32K,6.04%
29-Sep-13,145.8,109.7,142.5,136.7,212.39K,-4.07%
6-Oct-13,143.1,134.1,136.7,142.9,64.32K,4.53%
13-Oct-13,195.8,141.5,142.9,183.1,201.72K,28.18%
20-Oct-13,233.4,175.3,183.1,188.6,254.87K,2.95%
27-Oct-13,216.5,188.9,188.6,211.7,63.77K,12.27%
3-Nov-13,395,212.1,211.7,367.8,294.92K,73.74%
10-Nov-13,476.9,290,367.8,462,228.96K,25.60%
17-Nov-13,900.9,453.3,462,832.5,379.68K,80.21%
24-Nov-13,1241.9,745.2,832.5,1205.7,213.00K,44.82%
1-Dec-13,1239.9,576,1205.7,697,362.23K,-42.19%
8-Dec-13,1067.7,653,697,908.9,144.17K,30.40%
15-Dec-13,927.9,454.9,908.9,640.5,293.97K,-29.54%
22-Dec-13,836.8,615,640.5,762,93.74K,18.97%
29-Dec-13,932.2,735,762,924.7,74.20K,21.35%
5-Jan-14,1093.4,858.9,924.7,1005.3,113.16K,8.72%
12-Jan-14,1022.7,867.2,1005.3,905.7,52.66K,-9.91%
19-Jan-14,980.5,901.9,905.7,961,45.70K,6.11%
26-Jan-14,1038.1,909.5,961,940.4,51.59K,-2.15%
2-Feb-14,959.6,632.1,940.4,648.8,107.92K,-31.01%
9-Feb-14,700,302.2,648.8,371.1,243.42K,-42.80%
16-Feb-14,540,91.7,371.1,255.6,474.94K,-31.12%
23-Feb-14,650,102.3,255.6,557.4,166.11K,118.08%
2-Mar-14,695.4,541.5,557.4,609.2,11.29K,9.30%
9-Mar-14,640.8,594.7,609.2,624,21.08K,2.43%
16-Mar-14,627.3,537.2,624,564.3,25.94K,-9.57%
23-Mar-14,575.4,453.8,564.3,477.1,27.56K,-15.46%
30-Mar-14,487.4,386.7,477.1,456.6,24.11K,-4.29%
6-Apr-14,485.1,355.7,456.6,437.6,29.33K,-4.16%
13-Apr-14,549,409.9,437.6,506,53.39K,15.62%
20-Apr-14,524.7,438.3,506,457.9,43.03K,-9.52%
27-Apr-14,464.5,420.8,457.9,438.6,29.46K,-4.20%
4-May-14,459.5,420.2,438.6,451.9,20.89K,3.02%
11-May-14,455.9,429,451.9,452.8,13.76K,0.20%
18-May-14,540.9,437.3,452.8,520.5,14.84K,14.95%
25-May-14,629,520.5,520.5,627.9,26.11K,20.65%
1-Jun-14,676.5,602.1,627.9,651.7,28.41K,3.78%
8-Jun-14,663,563.7,651.7,583.4,31.06K,-10.47%
15-Jun-14,614.4,560.8,583.4,597,24.28K,2.33%
22-Jun-14,610.1,565.8,597,597.6,21.33K,0.09%
29-Jun-14,652.5,593.2,597.6,623,26.47K,4.25%
6-Jul-14,638.6,607.3,623,635.9,21.67K,2.08%
13-Jul-14,638.6,610,635.9,627,21.18K,-1.39%
20-Jul-14,628.8,593.3,627,596,24.42K,-4.95%
27-Jul-14,604,564,596,591.7,31.26K,-0.72%
3-Aug-14,608.2,580.6,591.7,589.5,18.80K,-0.37%
10-Aug-14,596.6,483.2,589.5,522,31.57K,-11.45%
17-Aug-14,537.2,450,522,497.7,35.33K,-4.66%
24-Aug-14,527.4,496.8,497.7,506,23.33K,1.66%
31-Aug-14,508.3,470.5,506,484.5,44.41K,-4.25%
7-Sep-14,491,467.5,484.5,478.2,44.00K,-1.30%
14-Sep-14,480.3,386.1,478.2,411.5,62.05K,-13.94%
21-Sep-14,445.5,394.5,411.5,399,99.72K,-3.04%
28-Sep-14,402.3,327.1,399,335.3,123.42K,-15.96%
5-Oct-14,384.6,294.9,335.3,361.2,200.89K,7.72%
12-Oct-14,407.7,352.3,361.2,390.9,132.96K,8.21%
19-Oct-14,394.5,341.5,390.9,346.7,89.27K,-11.30%
26-Oct-14,356.8,320.7,346.7,325.4,87.78K,-6.14%
2-Nov-14,351.6,319.8,325.4,343.5,95.14K,5.56%
9-Nov-14,480.5,341.8,343.5,374.9,197.01K,9.12%
16-Nov-14,412.3,343.8,374.9,352,147.31K,-6.10%
23-Nov-14,395.7,352.6,352,376.3,246.59K,6.89%
30-Nov-14,384.9,366.2,376.3,376.3,146.15K,0.00%
7-Dec-14,377.9,337.8,376.3,348.2,200.16K,-7.45%
14-Dec-14,351.6,303.4,348.2,330.4,266.58K,-5.14%
21-Dec-14,339.3,312,330.4,315.3,161.65K,-4.54%
28-Dec-14,322.8,284.9,315.3,287.1,158.96K,-8.95%
4-Jan-15,296.1,255.9,287.1,273.4,252.20K,-4.80%
11-Jan-15,278,157.3,273.4,199.6,536.80K,-26.96%
18-Jan-15,248.9,192.5,199.6,248.2,277.73K,24.30%
25-Jan-15,310.9,216.5,248.2,218.5,414.80K,-11.95%
1-Feb-15,247.5,209.7,218.5,227.7,331.42K,4.20%
8-Feb-15,261.3,214.4,227.7,258.6,574.78K,13.60%
15-Feb-15,264.6,226.6,258.6,244.4,703.12K,-5.50%
22-Feb-15,258.7,231.3,244.4,254.1,479.59K,3.95%
1-Mar-15,287.1,244.8,254.1,274.9,719.39K,8.21%
8-Mar-15,301,271.3,274.9,281.6,720.71K,2.43%
15-Mar-15,294,247,281.6,259.7,662.73K,-7.77%
22-Mar-15,271,234.8,259.7,252,627.70K,-2.96%
29-Mar-15,256.5,236.6,252,252.9,489.10K,0.35%
5-Apr-15,261.5,231.3,252.9,236.5,458.58K,-6.49%
12-Apr-15,237.5,214.3,236.5,223.4,518.95K,-5.55%
19-Apr-15,238.4,221.6,223.4,226.1,382.29K,1.25%
26-Apr-15,242.6,214.1,226.1,235.3,560.49K,4.07%
3-May-15,247.9,228.2,235.3,241.4,547.71K,2.57%
10-May-15,244.8,232.4,241.4,236.2,369.77K,-2.14%
17-May-15,242,231.3,236.2,238.9,325.28K,1.15%
24-May-15,242.4,231.6,238.9,233.2,258.05K,-2.39%
31-May-15,234,221,233.2,224.7,364.19K,-3.64%
7-Jun-15,233.1,222.2,224.7,232.5,327.87K,3.44%
14-Jun-15,258.5,232.1,232.5,245,554.57K,5.38%
21-Jun-15,251.6,239.1,245,250.7,290.96K,2.35%
28-Jun-15,268.7,246.6,250.7,260.5,430.54K,3.92%
5-Jul-15,298.8,257.6,260.5,292,437.97K,12.06%
12-Jul-15,315.9,243.2,292,274,626.53K,-6.14%
19-Jul-15,291.2,271.8,274,288.7,319.49K,5.36%
26-Jul-15,296.7,276.3,288.7,280.5,333.87K,-2.86%
2-Aug-15,285.7,257.4,280.5,258.6,323.31K,-7.80%
9-Aug-15,271.5,258.6,258.6,260.5,361.86K,0.74%
16-Aug-15,261.9,214.3,260.5,229.5,680.08K,-11.89%
23-Aug-15,234.8,196.3,229.5,228.5,723.79K,-0.45%
30-Aug-15,235.6,224.2,228.5,233.7,383.82K,2.26%
6-Sep-15,246.4,233.3,233.7,235.6,419.16K,0.83%
13-Sep-15,242.8,225.1,235.6,231.1,357.82K,-1.91%
20-Sep-15,237.6,224.1,231.1,234.3,375.71K,1.38%
27-Sep-15,240.4,231.8,234.3,238.6,352.36K,1.83%
4-Oct-15,277.6,236.4,238.6,245.4,358.23K,2.84%
11-Oct-15,275.4,243.1,245.4,269.6,495.94K,9.88%
18-Oct-15,283,259.5,269.6,282.6,468.08K,4.81%
25-Oct-15,334.9,279.6,282.6,311.2,810.63K,10.15%
1-Nov-15,492.8,304.7,311.2,385.1,1.90M,23.73%
8-Nov-15,389.8,292.4,385.1,331.8,1.03M,-13.85%
15-Nov-15,342.9,309.5,331.8,324.7,593.42K,-2.13%
22-Nov-15,368.9,315.5,324.7,355.8,578.86K,9.59%
29-Nov-15,390.3,347.2,355.8,386.7,664.46K,8.67%
6-Dec-15,467.7,381.7,386.7,432.3,908.49K,11.79%
13-Dec-15,466.1,420.8,432.3,461.2,784.64K,6.69%
20-Dec-15,462.8,400.5,461.2,415.4,703.13K,-9.94%
27-Dec-15,438,406.1,415.4,433.7,420.60K,4.42%
3-Jan-16,462.9,423.1,433.7,448.3,457.61K,3.36%
10-Jan-16,451.1,350.4,448.3,385,735.95K,-14.11%
17-Jan-16,425.7,373.2,385,388.6,688.23K,0.93%
24-Jan-16,405.4,363.5,388.6,377.8,484.64K,-2.79%
31-Jan-16,391.8,365.3,377.8,376.7,465.80K,-0.29%
7-Feb-16,392.6,371.4,376.7,390.1,420.40K,3.56%
14-Feb-16,442.7,390.1,390.1,440.1,559.58K,12.81%
21-Feb-16,447.6,410.4,440.1,431.3,466.28K,-1.99%
28-Feb-16,441.3,386.9,431.3,399,528.15K,-7.49%
6-Mar-16,422.4,393.1,399,410.4,405.06K,2.85%
13-Mar-16,419.6,402.1,410.4,408.7,324.33K,-0.41%
20-Mar-16,419.6,407.2,408.7,416.5,264.86K,1.91%
27-Mar-16,427.4,406.4,416.5,418.5,328.93K,0.48%
3-Apr-16,423.7,412.4,418.5,418,242.22K,-0.11%
10-Apr-16,432,416.7,418,430,269.29K,2.87%
17-Apr-16,451.5,423.8,430,450.1,333.40K,4.66%
24-Apr-16,468.9,433.9,450.1,448.5,476.55K,-0.34%
1-May-16,461.5,440.2,448.5,458.5,326.08K,2.21%
8-May-16,464.2,446.8,458.5,456.4,277.91K,-0.44%
15-May-16,460.3,435.4,456.4,443.6,255.85K,-2.80%
22-May-16,531.8,436.9,443.6,524.2,459.13K,18.16%
29-May-16,592.7,493.2,524.2,572,663.12K,9.10%
5-Jun-16,592.6,543.6,572,591.6,398.83K,3.44%
12-Jun-16,776,592.8,591.6,753.8,1.21M,27.41%
19-Jun-16,765.1,539.3,753.8,663.5,1.18M,-11.97%
26-Jun-16,700.5,609.9,663.5,698.1,593.43K,5.21%
3-Jul-16,701.5,605,698.1,651.8,590.38K,-6.62%
10-Jul-16,673.2,636.8,651.8,660.7,309.16K,1.36%
17-Jul-16,680.9,645.7,660.7,655.2,285.32K,-0.84%
24-Jul-16,664.2,643.5,655.2,654.7,217.98K,-0.06%
31-Jul-16,654.9,471.4,654.7,586.5,444.48K,-10.43%
7-Aug-16,600.5,580.9,586.5,584.6,211.25K,-0.32%
14-Aug-16,585.8,559.3,584.6,582.6,216.33K,-0.34%
21-Aug-16,591.9,567.3,582.6,570.3,180.45K,-2.10%
28-Aug-16,705,569.2,570.3,598.8,177.29K,5.00%
4-Sep-16,629.3,590.8,598.8,624.5,190.28K,4.29%
11-Sep-16,630.8,592.8,624.5,607.1,176.68K,-2.79%
18-Sep-16,612.4,591.7,607.1,602.6,158.87K,-0.74%
25-Sep-16,615,598.2,602.6,613.4,151.47K,1.80%
2-Oct-16,619.6,606.5,613.4,617.7,154.85K,0.69%
9-Oct-16,642.5,612.8,617.7,637,190.80K,3.14%
16-Oct-16,659.9,624.1,637,655.5,186.59K,2.90%
23-Oct-16,720.2,645.7,655.5,715,279.12K,9.07%
30-Oct-16,744.4,670.4,715,702.1,351.15K,-1.80%
6-Nov-16,741.2,697.6,702.1,704.3,253.50K,0.31%
13-Nov-16,755.3,685,704.3,747.9,322.97K,6.19%
20-Nov-16,754,712.8,747.9,734.1,250.91K,-1.84%
27-Nov-16,779,727.1,734.1,764.2,283.01K,4.10%
4-Dec-16,777,746,764.2,774,209.60K,1.28%
11-Dec-16,791.6,763,774,787.2,181.20K,1.70%
18-Dec-16,920.5,783.8,787.2,891.1,358.58K,13.20%
25-Dec-16,982.6,851.4,891.1,963.4,367.77K,8.11%
1-Jan-17,1150.6,806.7,963.4,888.9,1.65M,-7.73%
8-Jan-17,936.1,739.5,888.9,819.6,641.94K,-7.79%
15-Jan-17,928.9,808.6,819.6,919.8,346.77K,12.23%
22-Jan-17,938.4,883.6,919.8,918.5,256.52K,-0.14%
29-Jan-17,1041,911.5,918.5,1031.8,282.01K,12.34%
5-Feb-17,1073,924.7,1031.8,1008.3,404.97K,-2.28%
12-Feb-17,1063.2,975.1,1008.3,1052.3,219.71K,4.36%
19-Feb-17,1211.7,1037.7,1052.3,1149.1,373.70K,9.20%
26-Feb-17,1291.3,1130.6,1149.1,1264.3,352.15K,10.03%
5-Mar-17,1330.4,988.7,1264.3,1179.2,563.14K,-6.73%
12-Mar-17,1260.2,940.2,1179.2,971.4,700.54K,-17.63%
19-Mar-17,1125.5,890.4,971.4,966.3,691.92K,-0.52%
26-Mar-17,1103.7,946.7,966.3,1086.1,542.07K,12.40%
2-Apr-17,1201.6,1074.2,1086.1,1180.8,495.23K,8.72%
9-Apr-17,1229.6,841.5,1180.8,1177,309.20K,-0.32%
16-Apr-17,1257,1166.7,1177,1240.9,301.86K,5.43%
23-Apr-17,1356.2,1223.1,1240.9,1336.3,364.25K,7.69%
30-Apr-17,1609.8,1309.7,1336.3,1545.3,609.50K,15.64%
7-May-17,1864.8,1495.2,1545.3,1763.7,689.31K,14.14%
14-May-17,2048.4,1653.7,1763.7,2040.2,552.75K,15.67%
21-May-17,2781.8,1868.6,2040.2,2052.4,1.18M,0.60%
28-May-17,2582.8,2051.1,2052.4,2545.4,732.63K,24.02%
4-Jun-17,2931.2,2478.2,2545.4,2900.3,710.05K,13.94%
11-Jun-17,2985.1,2125.6,2900.3,2655.1,1.07M,-8.45%
18-Jun-17,2804.4,2488.6,2655.1,2590.1,623.37K,-2.45%
25-Jun-17,2660.7,2309.6,2590.1,2424.6,737.13K,-6.39%
2-Jul-17,2658.7,2375.9,2424.6,2564.9,526.68K,5.78%
9-Jul-17,2576.7,1974,2564.9,1975.1,777.01K,-22.99%
16-Jul-17,2932.8,1809,1975.1,2836.5,1.35M,43.62%
23-Jul-17,2856.7,2441.5,2836.5,2733.5,859.86K,-3.63%
30-Jul-17,3344,2621.7,2733.5,3262.8,675.09K,19.36%
6-Aug-17,3967.3,3166.5,3262.8,3871.6,644.93K,18.66%
13-Aug-17,4487.5,3837.1,3871.6,4150.5,997.13K,7.20%
20-Aug-17,4461.7,3612.2,4150.5,4352.3,628.02K,4.86%
27-Aug-17,4976.5,4195.2,4352.3,4573.8,622.35K,5.09%
3-Sep-17,4719.8,4004.6,4573.8,4335.1,870.55K,-5.22%
10-Sep-17,4387.8,2979.9,4335.1,3698.9,1.43M,-14.68%
17-Sep-17,4122.8,3485.8,3698.9,3788,781.52K,2.41%
24-Sep-17,4383.3,3633.9,3788,4360.6,588.23K,15.12%
1-Oct-17,4477.4,4143.4,4360.6,4435.8,443.24K,1.72%
8-Oct-17,5852.8,4419.4,4435.8,5824.7,805.69K,31.31%
15-Oct-17,6187.2,5114.9,5824.7,6006.6,670.51K,3.12%
22-Oct-17,6070.6,5375.6,6006.6,5726.6,722.59K,-4.66%
29-Oct-17,7492.2,5679.4,5726.6,7363.8,976.41K,28.59%
5-Nov-17,7869.1,6197.9,7363.8,6339.9,1.07M,-13.91%
12-Nov-17,8000.2,5493.6,6339.9,7780.9,1.00M,22.73%
19-Nov-17,8762,7675.4,7781,8754.7,551.27K,12.51%
26-Nov-17,11417.8,8746.6,8754.6,10912.7,919.63K,24.65%
3-Dec-17,17294.8,10578.4,10912.7,14843.4,1.26M,36.02%
10-Dec-17,19587.7,13031,14840,19345.5,1.02M,30.33%
17-Dec-17,19870.6,10875.7,19346.6,14396.5,1.46M,-25.58%
24-Dec-17,16514.6,11962.1,14396.6,12531.5,1.04M,-12.95%
31-Dec-17,17252.8,12359.4,12532.4,17172.3,770.83K,37.03%
7-Jan-18,17184.8,13048.3,17174.5,14292.2,691.25K,-16.77%
14-Jan-18,14446.1,12858.9,14291.9,12858.9,1.39M,-10.03%
21-Jan-18,12860.2,10056.6,12857.1,11467.5,1.33M,-10.82%
28-Jan-18,12112.7,7915.8,11471.2,9241.1,1.89M,-19.41%
4-Feb-18,9382.1,8559.6,9241.5,8559.6,3.00M,-7.37%
11-Feb-18,11095.9,7843.7,8559.7,11073.5,1.64M,29.37%
18-Feb-18,11791.5,9394.5,11073.7,9704.3,1.93M,-12.36%
25-Feb-18,11420.7,9330.1,9703.1,11402.3,1.41M,17.50%
4-Mar-18,11506.9,8351,11402.8,8762,1.66M,-23.16%
11-Mar-18,9892.2,7691.7,8732.2,7874.9,1.84M,-10.12%
18-Mar-18,9173.4,7323.3,7873.2,8547.4,1.75M,8.54%
25-Mar-18,8679,6603.8,8549.1,6938.2,1.80M,-18.83%
1-Apr-18,7519.3,6460.1,6939.1,6905.7,1.50M,-0.47%
8-Apr-18,8228,6633.2,6905.9,8004.4,1.51M,15.91%
15-Apr-18,9027.7,7852.8,8004.6,8923.1,1.27M,11.48%
22-Apr-18,9753.1,8669.8,8923.6,9352.4,1.60M,4.81%
29-Apr-18,9992.8,8851,9352.2,9853.5,1.17M,5.36%
6-May-18,9957.7,8184.1,9859.4,8459.5,1.26M,-14.15%
13-May-18,8758.4,8055.5,8483.6,8245.1,1.14M,-2.53%
20-May-18,8597.4,7293.4,8243.9,7361.3,1.08M,-10.72%
27-May-18,7694.5,7069.8,7361.9,7646.6,984.53K,3.88%
