Date,Lastes,Open,High,Low,Vol,Difference
26-Aug-12,10,10.5,12.1,9.7,432.01K,-5.23%
2-Sep-12,11,10,11.3,9.7,270.47K,10.73%
9-Sep-12,11.8,11,11.8,10.8,260.01K,6.43%
16-Sep-12,12.2,11.8,12.7,11.7,223.13K,4.17%
23-Sep-12,12.4,12.2,12.5,11.6,175.00K,0.98%
30-Sep-12,12.5,12.4,13.1,12.3,210.29K,1.21%
7-Oct-12,11.9,12.5,12.6,10.6,289.17K,-5.20%
14-Oct-12,11.7,11.9,12,11.4,181.90K,-1.01%
21-Oct-12,10.3,11.7,12,9.7,354.68K,-12.61%
28-Oct-12,10.6,10.3,11.3,10.3,218.24K,3.70%
4-Nov-12,10.9,10.6,11.2,10.5,151.53K,2.35%
11-Nov-12,11.8,10.9,11.8,10.7,202.40K,8.26%
18-Nov-12,12.4,11.8,12.5,11.6,184.00K,5.26%
25-Nov-12,12.6,12.4,12.7,11.9,189.37K,1.21%
2-Dec-12,13.4,12.6,13.7,12.4,226.35K,6.85%
9-Dec-12,13.5,13.4,13.9,13,228.09K,0.52%
16-Dec-12,13.4,13.5,13.7,12.8,241.51K,-0.89%
23-Dec-12,13.4,13.4,13.7,13,139.46K,0.00%
30-Dec-12,13.4,13.4,13.6,13.2,142.19K,0.00%
6-Jan-13,14.2,13.4,14.4,13.4,228.80K,5.95%
13-Jan-13,15.6,14.2,16,13.9,313.71K,9.69%
20-Jan-13,17.9,15.6,19.2,15.4,485.49K,14.47%
27-Jan-13,19.6,17.9,21.4,17.2,442.23K,9.79%
3-Feb-13,23.6,19.6,24,19.4,318.71K,20.48%
10-Feb-13,27.2,23.6,27.6,21.7,466.62K,15.10%
17-Feb-13,29.8,27.2,31.3,25,417.66K,9.48%
24-Feb-13,34.3,29.8,34.9,29.2,327.36K,14.93%
3-Mar-13,46.8,34.3,49.1,33.3,520.06K,36.79%
10-Mar-13,47,46.8,48.5,36.7,384.32K,0.32%
17-Mar-13,64.3,47,74.9,46.8,602.06K,36.91%
24-Mar-13,92.2,64.3,95.7,62.7,511.38K,43.26%
31-Mar-13,142.6,92.2,147,91,520.93K,54.71%
7-Apr-13,93,142.6,266,54.3,1.38M,-34.80%
14-Apr-13,126.6,93,136.4,50,1.81M,36.15%
21-Apr-13,128,126.6,166.4,110,876.87K,1.09%
28-Apr-13,112.9,128,149.1,79,956.24K,-11.80%
5-May-13,115.6,112.9,124.9,97.5,568.14K,2.43%
12-May-13,123.2,115.6,125.6,103,399.53K,6.55%
19-May-13,132,123.2,134,119.5,157.31K,7.13%
26-May-13,129.3,132,136,124,159.87K,-2.04%
2-Jun-13,107.9,129.3,130.1,106.2,273.71K,-16.56%
9-Jun-13,99.8,107.9,112.3,88,336.61K,-7.50%
16-Jun-13,108.2,99.8,115,98.9,190.47K,8.42%
23-Jun-13,95,108.2,110,92.3,234.92K,-12.20%
30-Jun-13,69.7,95,98.2,65.4,358.77K,-26.67%
7-Jul-13,98.3,69.7,104.2,66.6,366.12K,41.14%
14-Jul-13,89.8,98.3,101.9,86.2,177.26K,-8.65%
21-Jul-13,94.4,89.8,97.5,88,105.87K,5.10%
28-Jul-13,104.9,94.4,111.7,94,191.74K,11.18%
4-Aug-13,103,104.9,107.8,101,82.99K,-1.86%
11-Aug-13,112.8,103,115,102.7,139.76K,9.47%
18-Aug-13,119.6,112.8,125,111.8,160.00K,6.08%
25-Aug-13,141,119.6,148.7,119.1,170.74K,17.89%
1-Sep-13,129,141,148.9,121.3,130.89K,-8.52%
8-Sep-13,136.7,129,145.9,124,137.01K,5.98%
15-Sep-13,134.4,136.7,142.2,131,73.34K,-1.70%
22-Sep-13,142.5,134.4,143,131,77.32K,6.04%
29-Sep-13,136.7,142.5,145.8,109.7,212.39K,-4.07%
6-Oct-13,142.9,136.7,143.1,134.1,64.32K,4.53%
13-Oct-13,183.1,142.9,195.8,141.5,201.72K,28.18%
20-Oct-13,188.6,183.1,233.4,175.3,254.87K,2.95%
27-Oct-13,211.7,188.6,216.5,188.9,63.77K,12.27%
3-Nov-13,367.8,211.7,395,212.1,294.92K,73.74%
10-Nov-13,462,367.8,476.9,290,228.96K,25.60%
17-Nov-13,832.5,462,900.9,453.3,379.68K,80.21%
24-Nov-13,"1,205.70",832.5,"1,241.90",745.2,213.00K,44.82%
1-Dec-13,697,"1,205.70","1,239.90",576,362.23K,-42.19%
8-Dec-13,908.9,697,"1,067.70",653,144.17K,30.40%
15-Dec-13,640.5,908.9,927.9,454.9,293.97K,-29.54%
22-Dec-13,762,640.5,836.8,615,93.74K,18.97%
29-Dec-13,924.7,762,932.2,735,74.20K,21.35%
5-Jan-14,"1,005.30",924.7,"1,093.40",858.9,113.16K,8.72%
12-Jan-14,905.7,"1,005.30","1,022.70",867.2,52.66K,-9.91%
19-Jan-14,961,905.7,980.5,901.9,45.70K,6.11%
26-Jan-14,940.4,961,"1,038.10",909.5,51.59K,-2.15%
2-Feb-14,648.8,940.4,959.6,632.1,107.92K,-31.01%
9-Feb-14,371.1,648.8,700,302.2,243.42K,-42.80%
16-Feb-14,255.6,371.1,540,91.7,474.94K,-31.12%
23-Feb-14,557.4,255.6,650,102.3,166.11K,118.08%
2-Mar-14,609.2,557.4,695.4,541.5,11.29K,9.30%
9-Mar-14,624,609.2,640.8,594.7,21.08K,2.43%
16-Mar-14,564.3,624,627.3,537.2,25.94K,-9.57%
23-Mar-14,477.1,564.3,575.4,453.8,27.56K,-15.46%
30-Mar-14,456.6,477.1,487.4,386.7,24.11K,-4.29%
6-Apr-14,437.6,456.6,485.1,355.7,29.33K,-4.16%
13-Apr-14,506,437.6,549,409.9,53.39K,15.62%
20-Apr-14,457.9,506,524.7,438.3,43.03K,-9.52%
27-Apr-14,438.6,457.9,464.5,420.8,29.46K,-4.20%
4-May-14,451.9,438.6,459.5,420.2,20.89K,3.02%
11-May-14,452.8,451.9,455.9,429,13.76K,0.20%
18-May-14,520.5,452.8,540.9,437.3,14.84K,14.95%
25-May-14,627.9,520.5,629,520.5,26.11K,20.65%
1-Jun-14,651.7,627.9,676.5,602.1,28.41K,3.78%
8-Jun-14,583.4,651.7,663,563.7,31.06K,-10.47%
15-Jun-14,597,583.4,614.4,560.8,24.28K,2.33%
22-Jun-14,597.6,597,610.1,565.8,21.33K,0.09%
29-Jun-14,623,597.6,652.5,593.2,26.47K,4.25%
6-Jul-14,635.9,623,638.6,607.3,21.67K,2.08%
13-Jul-14,627,635.9,638.6,610,21.18K,-1.39%
20-Jul-14,596,627,628.8,593.3,24.42K,-4.95%
27-Jul-14,591.7,596,604,564,31.26K,-0.72%
3-Aug-14,589.5,591.7,608.2,580.6,18.80K,-0.37%
10-Aug-14,522,589.5,596.6,483.2,31.57K,-11.45%
17-Aug-14,497.7,522,537.2,450,35.33K,-4.66%
24-Aug-14,506,497.7,527.4,496.8,23.33K,1.66%
31-Aug-14,484.5,506,508.3,470.5,44.41K,-4.25%
7-Sep-14,478.2,484.5,491,467.5,44.00K,-1.30%
14-Sep-14,411.5,478.2,480.3,386.1,62.05K,-13.94%
21-Sep-14,399,411.5,445.5,394.5,99.72K,-3.04%
28-Sep-14,335.3,399,402.3,327.1,123.42K,-15.96%
5-Oct-14,361.2,335.3,384.6,294.9,200.89K,7.72%
12-Oct-14,390.9,361.2,407.7,352.3,132.96K,8.21%
19-Oct-14,346.7,390.9,394.5,341.5,89.27K,-11.30%
26-Oct-14,325.4,346.7,356.8,320.7,87.78K,-6.14%
2-Nov-14,343.5,325.4,351.6,319.8,95.14K,5.56%
9-Nov-14,374.9,343.5,480.5,341.8,197.01K,9.12%
16-Nov-14,352,374.9,412.3,343.8,147.31K,-6.10%
23-Nov-14,376.3,352,395.7,352.6,246.59K,6.89%
30-Nov-14,376.3,376.3,384.9,366.2,146.15K,0.00%
7-Dec-14,348.2,376.3,377.9,337.8,200.16K,-7.45%
14-Dec-14,330.4,348.2,351.6,303.4,266.58K,-5.14%
21-Dec-14,315.3,330.4,339.3,312,161.65K,-4.54%
28-Dec-14,287.1,315.3,322.8,284.9,158.96K,-8.95%
4-Jan-15,273.4,287.1,296.1,255.9,252.20K,-4.80%
11-Jan-15,199.6,273.4,278,157.3,536.80K,-26.96%
18-Jan-15,248.2,199.6,248.9,192.5,277.73K,24.30%
25-Jan-15,218.5,248.2,310.9,216.5,414.80K,-11.95%
1-Feb-15,227.7,218.5,247.5,209.7,331.42K,4.20%
8-Feb-15,258.6,227.7,261.3,214.4,574.78K,13.60%
15-Feb-15,244.4,258.6,264.6,226.6,703.12K,-5.50%
22-Feb-15,254.1,244.4,258.7,231.3,479.59K,3.95%
1-Mar-15,274.9,254.1,287.1,244.8,719.39K,8.21%
8-Mar-15,281.6,274.9,301,271.3,720.71K,2.43%
15-Mar-15,259.7,281.6,294,247,662.73K,-7.77%
22-Mar-15,252,259.7,271,234.8,627.70K,-2.96%
29-Mar-15,252.9,252,256.5,236.6,489.10K,0.35%
5-Apr-15,236.5,252.9,261.5,231.3,458.58K,-6.49%
12-Apr-15,223.4,236.5,237.5,214.3,518.95K,-5.55%
19-Apr-15,226.1,223.4,238.4,221.6,382.29K,1.25%
26-Apr-15,235.3,226.1,242.6,214.1,560.49K,4.07%
3-May-15,241.4,235.3,247.9,228.2,547.71K,2.57%
10-May-15,236.2,241.4,244.8,232.4,369.77K,-2.14%
17-May-15,238.9,236.2,242,231.3,325.28K,1.15%
24-May-15,233.2,238.9,242.4,231.6,258.05K,-2.39%
31-May-15,224.7,233.2,234,221,364.19K,-3.64%
7-Jun-15,232.5,224.7,233.1,222.2,327.87K,3.44%
14-Jun-15,245,232.5,258.5,232.1,554.57K,5.38%
21-Jun-15,250.7,245,251.6,239.1,290.96K,2.35%
28-Jun-15,260.5,250.7,268.7,246.6,430.54K,3.92%
5-Jul-15,292,260.5,298.8,257.6,437.97K,12.06%
12-Jul-15,274,292,315.9,243.2,626.53K,-6.14%
19-Jul-15,288.7,274,291.2,271.8,319.49K,5.36%
26-Jul-15,280.5,288.7,296.7,276.3,333.87K,-2.86%
2-Aug-15,258.6,280.5,285.7,257.4,323.31K,-7.80%
9-Aug-15,260.5,258.6,271.5,258.6,361.86K,0.74%
16-Aug-15,229.5,260.5,261.9,214.3,680.08K,-11.89%
23-Aug-15,228.5,229.5,234.8,196.3,723.79K,-0.45%
30-Aug-15,233.7,228.5,235.6,224.2,383.82K,2.26%
6-Sep-15,235.6,233.7,246.4,233.3,419.16K,0.83%
13-Sep-15,231.1,235.6,242.8,225.1,357.82K,-1.91%
20-Sep-15,234.3,231.1,237.6,224.1,375.71K,1.38%
27-Sep-15,238.6,234.3,240.4,231.8,352.36K,1.83%
4-Oct-15,245.4,238.6,277.6,236.4,358.23K,2.84%
11-Oct-15,269.6,245.4,275.4,243.1,495.94K,9.88%
18-Oct-15,282.6,269.6,283,259.5,468.08K,4.81%
25-Oct-15,311.2,282.6,334.9,279.6,810.63K,10.15%
1-Nov-15,385.1,311.2,492.8,304.7,1.90M,23.73%
8-Nov-15,331.8,385.1,389.8,292.4,1.03M,-13.85%
15-Nov-15,324.7,331.8,342.9,309.5,593.42K,-2.13%
22-Nov-15,355.8,324.7,368.9,315.5,578.86K,9.59%
29-Nov-15,386.7,355.8,390.3,347.2,664.46K,8.67%
6-Dec-15,432.3,386.7,467.7,381.7,908.49K,11.79%
13-Dec-15,461.2,432.3,466.1,420.8,784.64K,6.69%
20-Dec-15,415.4,461.2,462.8,400.5,703.13K,-9.94%
27-Dec-15,433.7,415.4,438,406.1,420.60K,4.42%
3-Jan-16,448.3,433.7,462.9,423.1,457.61K,3.36%
10-Jan-16,385,448.3,451.1,350.4,735.95K,-14.11%
17-Jan-16,388.6,385,425.7,373.2,688.23K,0.93%
24-Jan-16,377.8,388.6,405.4,363.5,484.64K,-2.79%
31-Jan-16,376.7,377.8,391.8,365.3,465.80K,-0.29%
7-Feb-16,390.1,376.7,392.6,371.4,420.40K,3.56%
14-Feb-16,440.1,390.1,442.7,390.1,559.58K,12.81%
21-Feb-16,431.3,440.1,447.6,410.4,466.28K,-1.99%
28-Feb-16,399,431.3,441.3,386.9,528.15K,-7.49%
6-Mar-16,410.4,399,422.4,393.1,405.06K,2.85%
13-Mar-16,408.7,410.4,419.6,402.1,324.33K,-0.41%
20-Mar-16,416.5,408.7,419.6,407.2,264.86K,1.91%
27-Mar-16,418.5,416.5,427.4,406.4,328.93K,0.48%
3-Apr-16,418,418.5,423.7,412.4,242.22K,-0.11%
10-Apr-16,430,418,432,416.7,269.29K,2.87%
17-Apr-16,450.1,430,451.5,423.8,333.40K,4.66%
24-Apr-16,448.5,450.1,468.9,433.9,476.55K,-0.34%
1-May-16,458.5,448.5,461.5,440.2,326.08K,2.21%
8-May-16,456.4,458.5,464.2,446.8,277.91K,-0.44%
15-May-16,443.6,456.4,460.3,435.4,255.85K,-2.80%
22-May-16,524.2,443.6,531.8,436.9,459.13K,18.16%
29-May-16,572,524.2,592.7,493.2,663.12K,9.10%
5-Jun-16,591.6,572,592.6,543.6,398.83K,3.44%
12-Jun-16,753.8,591.6,776,592.8,1.21M,27.41%
19-Jun-16,663.5,753.8,765.1,539.3,1.18M,-11.97%
26-Jun-16,698.1,663.5,700.5,609.9,593.43K,5.21%
3-Jul-16,651.8,698.1,701.5,605,590.38K,-6.62%
10-Jul-16,660.7,651.8,673.2,636.8,309.16K,1.36%
17-Jul-16,655.2,660.7,680.9,645.7,285.32K,-0.84%
24-Jul-16,654.7,655.2,664.2,643.5,217.98K,-0.06%
31-Jul-16,586.5,654.7,654.9,471.4,444.48K,-10.43%
7-Aug-16,584.6,586.5,600.5,580.9,211.25K,-0.32%
14-Aug-16,582.6,584.6,585.8,559.3,216.33K,-0.34%
21-Aug-16,570.3,582.6,591.9,567.3,180.45K,-2.10%
28-Aug-16,598.8,570.3,705,569.2,177.29K,5.00%
4-Sep-16,624.5,598.8,629.3,590.8,190.28K,4.29%
11-Sep-16,607.1,624.5,630.8,592.8,176.68K,-2.79%
18-Sep-16,602.6,607.1,612.4,591.7,158.87K,-0.74%
25-Sep-16,613.4,602.6,615,598.2,151.47K,1.80%
2-Oct-16,617.7,613.4,619.6,606.5,154.85K,0.69%
9-Oct-16,637,617.7,642.5,612.8,190.80K,3.14%
16-Oct-16,655.5,637,659.9,624.1,186.59K,2.90%
23-Oct-16,715,655.5,720.2,645.7,279.12K,9.07%
30-Oct-16,702.1,715,744.4,670.4,351.15K,-1.80%
6-Nov-16,704.3,702.1,741.2,697.6,253.50K,0.31%
13-Nov-16,747.9,704.3,755.3,685,322.97K,6.19%
20-Nov-16,734.1,747.9,754,712.8,250.91K,-1.84%
27-Nov-16,764.2,734.1,779,727.1,283.01K,4.10%
4-Dec-16,774,764.2,777,746,209.60K,1.28%
11-Dec-16,787.2,774,791.6,763,181.20K,1.70%
18-Dec-16,891.1,787.2,920.5,783.8,358.58K,13.20%
25-Dec-16,963.4,891.1,982.6,851.4,367.77K,8.11%
1-Jan-17,888.9,963.4,"1,150.60",806.7,1.65M,-7.73%
8-Jan-17,819.6,888.9,936.1,739.5,641.94K,-7.79%
15-Jan-17,919.8,819.6,928.9,808.6,346.77K,12.23%
22-Jan-17,918.5,919.8,938.4,883.6,256.52K,-0.14%
29-Jan-17,"1,031.80",918.5,"1,041.00",911.5,282.01K,12.34%
5-Feb-17,"1,008.30","1,031.80","1,073.00",924.7,404.97K,-2.28%
12-Feb-17,"1,052.30","1,008.30","1,063.20",975.1,219.71K,4.36%
19-Feb-17,"1,149.10","1,052.30","1,211.70","1,037.70",373.70K,9.20%
26-Feb-17,"1,264.30","1,149.10","1,291.30","1,130.60",352.15K,10.03%
5-Mar-17,"1,179.20","1,264.30","1,330.40",988.7,563.14K,-6.73%
12-Mar-17,971.4,"1,179.20","1,260.20",940.2,700.54K,-17.63%
19-Mar-17,966.3,971.4,"1,125.50",890.4,691.92K,-0.52%
26-Mar-17,"1,086.10",966.3,"1,103.70",946.7,542.07K,12.40%
2-Apr-17,"1,180.80","1,086.10","1,201.60","1,074.20",495.23K,8.72%
9-Apr-17,"1,177.00","1,180.80","1,229.60",841.5,309.20K,-0.32%
16-Apr-17,"1,240.90","1,177.00","1,257.00","1,166.70",301.86K,5.43%
23-Apr-17,"1,336.30","1,240.90","1,356.20","1,223.10",364.25K,7.69%
30-Apr-17,"1,545.30","1,336.30","1,609.80","1,309.70",609.50K,15.64%
7-May-17,"1,763.70","1,545.30","1,864.80","1,495.20",689.31K,14.14%
14-May-17,"2,040.20","1,763.70","2,048.40","1,653.70",552.75K,15.67%
21-May-17,"2,052.40","2,040.20","2,781.80","1,868.60",1.18M,0.60%
28-May-17,"2,545.40","2,052.40","2,582.80","2,051.10",732.63K,24.02%
4-Jun-17,"2,900.30","2,545.40","2,931.20","2,478.20",710.05K,13.94%
11-Jun-17,"2,655.10","2,900.30","2,985.10","2,125.60",1.07M,-8.45%
18-Jun-17,"2,590.10","2,655.10","2,804.40","2,488.60",623.37K,-2.45%
25-Jun-17,"2,424.60","2,590.10","2,660.70","2,309.60",737.13K,-6.39%
2-Jul-17,"2,564.90","2,424.60","2,658.70","2,375.90",526.68K,5.78%
9-Jul-17,"1,975.10","2,564.90","2,576.70","1,974.00",777.01K,-22.99%
16-Jul-17,"2,836.50","1,975.10","2,932.80","1,809.00",1.35M,43.62%
23-Jul-17,"2,733.50","2,836.50","2,856.70","2,441.50",859.86K,-3.63%
30-Jul-17,"3,262.80","2,733.50","3,344.00","2,621.70",675.09K,19.36%
6-Aug-17,"3,871.60","3,262.80","3,967.30","3,166.50",644.93K,18.66%
13-Aug-17,"4,150.50","3,871.60","4,487.50","3,837.10",997.13K,7.20%
20-Aug-17,"4,352.30","4,150.50","4,461.70","3,612.20",628.02K,4.86%
27-Aug-17,"4,573.80","4,352.30","4,976.50","4,195.20",622.35K,5.09%
3-Sep-17,"4,335.10","4,573.80","4,719.80","4,004.60",870.55K,-5.22%
10-Sep-17,"3,698.90","4,335.10","4,387.80","2,979.90",1.43M,-14.68%
17-Sep-17,"3,788.00","3,698.90","4,122.80","3,485.80",781.52K,2.41%
24-Sep-17,"4,360.60","3,788.00","4,383.30","3,633.90",588.23K,15.12%
1-Oct-17,"4,435.80","4,360.60","4,477.40","4,143.40",443.24K,1.72%
8-Oct-17,"5,824.70","4,435.80","5,852.80","4,419.40",805.69K,31.31%
15-Oct-17,"6,006.60","5,824.70","6,187.20","5,114.90",670.51K,3.12%
22-Oct-17,"5,726.60","6,006.60","6,070.60","5,375.60",722.59K,-4.66%
29-Oct-17,"7,363.80","5,726.60","7,492.20","5,679.40",976.41K,28.59%
5-Nov-17,"6,339.90","7,363.80","7,869.10","6,197.90",1.07M,-13.91%
12-Nov-17,"7,780.90","6,339.90","8,000.20","5,493.60",1.00M,22.73%
19-Nov-17,"8,754.70","7,781.00","8,762.00","7,675.40",551.27K,12.51%
26-Nov-17,"10,912.70","8,754.60","11,417.80","8,746.60",919.63K,24.65%
3-Dec-17,"14,843.40","10,912.70","17,294.80","10,578.40",1.26M,36.02%
10-Dec-17,"19,345.50","14,840.00","19,587.70","13,031.00",1.02M,30.33%
17-Dec-17,"14,396.50","19,346.60","19,870.60","10,875.70",1.46M,-25.58%
24-Dec-17,"12,531.50","14,396.60","16,514.60","11,962.10",1.04M,-12.95%
31-Dec-17,"17,172.30","12,532.40","17,252.80","12,359.40",770.83K,37.03%
7-Jan-18,"14,292.20","17,174.50","17,184.80","13,048.30",691.25K,-16.77%
14-Jan-18,"12,858.90","14,291.90","14,446.10","12,858.90",1.39M,-10.03%
21-Jan-18,"11,467.50","12,857.10","12,860.20","10,056.60",1.33M,-10.82%
28-Jan-18,"9,241.10","11,471.20","12,112.70","7,915.80",1.89M,-19.41%
4-Feb-18,"8,559.60","9,241.50","9,382.10","8,559.60",3.00M,-7.37%
11-Feb-18,"11,073.50","8,559.70","11,095.90","7,843.70",1.64M,29.37%
18-Feb-18,"9,704.30","11,073.70","11,791.50","9,394.50",1.93M,-12.36%
25-Feb-18,"11,402.30","9,703.10","11,420.70","9,330.10",1.41M,17.50%
4-Mar-18,"8,762.00","11,402.80","11,506.90","8,351.00",1.66M,-23.16%
11-Mar-18,"7,874.90","8,732.20","9,892.20","7,691.70",1.84M,-10.12%
18-Mar-18,"8,547.40","7,873.20","9,173.40","7,323.30",1.75M,8.54%
25-Mar-18,"6,938.20","8,549.10","8,679.00","6,603.80",1.80M,-18.83%
