Date,High,Low,Open,Close,Volume,Difference
2011-10-23,3.8,2.4,3.2,3.6,450690,0.1329
2011-10-30,3.7,2.8,3.6,3,268870,-0.1704
2011-11-06,3.2,2.8,3,3,252920,0.0202
2011-11-13,3,2,3,2.2,806160,-0.2739
2011-11-20,2.6,2.2,2.2,2.5,363450,0.1227
2011-11-27,3.1,2.4,2.5,2.8,609050,0.1296
2011-12-04,3.1,2.6,2.8,3,388450,0.0932
2011-12-11,3.4,3,3,3.2,329700,0.0492
2011-12-18,4.5,3.2,3.2,3.9,478620,0.2312
2011-12-25,5,3.8,3.9,4.7,457490,0.198
2012-01-01,7.2,4.6,4.7,6.8,1020000,0.4428
2012-01-08,7.2,5.8,6.8,6.8,757500,-0.0088
2012-01-15,7.2,4.6,6.8,6.2,871360,-0.0844
2012-01-22,6.4,5.1,6.2,5.6,560590,-0.089
2012-01-29,6.2,5.3,5.6,5.9,387000,0.0426
2012-02-05,6,5.3,5.9,5.6,720250,-0.046
2012-02-12,5.8,3.9,5.6,4.2,1080000,-0.2464
2012-02-19,5.2,4.2,4.2,4.8,595590,0.1303
2012-02-26,5.1,4.5,4.8,4.6,403660,-0.0335
2012-03-04,5.1,4.6,4.6,4.8,334240,0.0477
2012-03-11,5.4,4.8,4.8,5.2,367600,0.0807
2012-03-18,5.3,4.5,5.2,4.7,475800,-0.1034
2012-03-25,4.9,4.3,4.7,4.9,365420,0.0491
2012-04-01,5.1,4.7,4.9,4.7,419100,-0.0448
2012-04-08,5,4.6,4.7,5,404720,0.0576
2012-04-15,5.5,4.9,5,5.3,385950,0.0605
2012-04-22,5.3,4.8,5.3,5,367930,-0.0532
2012-04-29,5.2,4.9,5,5.1,308530,0.0201
2012-05-06,5.1,4.8,5.1,4.9,326600,-0.0256
2012-05-13,5.1,4.9,4.9,5.1,282770,0.0303
2012-05-20,5.2,5.1,5.1,5.1,220540,0
2012-05-27,5.3,5,5.1,5.3,243860,0.0294
2012-06-03,5.7,5.2,5.3,5.6,327560,0.059
2012-06-10,6.6,5.4,5.6,6.4,379760,0.1511
2012-06-17,6.8,6,6.4,6.4,332470,0
2012-06-24,6.7,6.2,6.4,6.7,277010,0.0404
2012-07-01,6.9,6.4,6.7,6.8,284010,0.0105
2012-07-08,7.9,6.7,6.8,7.5,337910,0.1154
2012-07-15,9.7,7.3,7.5,8.9,789950,0.1737
2012-07-22,9.2,7.8,8.9,8.9,357350,0
2012-07-29,11.3,8.7,8.9,11,442240,0.2351
2012-08-05,12,10.1,11,11.5,379160,0.0483
2012-08-12,15.4,10.6,11.5,11.6,591640,0.0087
